system_id,word,ner
69,8,CARDINAL
69,A330900型,PRODUCT
69,5,CARDINAL
69,A321neo\n,PRODUCT
69,k董,PERSON
69,6,CARDINAL
69,nA330neo,PRODUCT
69,租機公司,ORG
69,n星宇航空,ORG
69,2020年,DATE
69,8,CARDINAL
69,返台,GPE
69,B58305MSN2066,PRODUCT
69,ALC,ORG
69,3,CARDINAL
69,6,CARDINAL
69,A321neo,PRODUCT
69,3,CARDINAL
69,A339neo,PRODUCT
69,6,CARDINAL
69,A321neo,PRODUCT
69,空巴,ORG
69,3,CARDINAL
69,A330neo,PRODUCT
69,星宇航空,PRODUCT
69,2023/12,DATE
69,Avolon,ORG
69,2023/Q3,DATE
69,8,CARDINAL
69,A330neo,PRODUCT
69,SpiritAirlines,ORG
69,A320neo,ORG
69,SpiritAirlines,ORG
69,些租機公司,ORG
69,lots\n\n,ORG
69,星宇航空,ORG
69,8,CARDINAL
69,A321neo,PRODUCT
69,2026/3/10,CARDINAL
69,8,CARDINAL
69,12年,DATE
69,202X~2030年,DATE
69,星宇航空,PERSON
69,2026/2月,DATE
69,4818億,CARDINAL
69,2026/2月,DATE
69,19002億,CARDINAL
69,華航,ORG
69,2,CARDINAL
69,787,PRODUCT
69,3月,DATE
70,第三,ORDINAL
70,787,PRODUCT
70,第二,ORDINAL
71,第二,ORDINAL
71,B17890,DATE
71,兩,CARDINAL
72,華航,ORG
72,今年,DATE
72,5~6,CARDINAL
73,第二,ORDINAL
73,波特蘭,GPE
74,台中,GPE
74,5,CARDINAL
75,台中,GPE
75,4月,DATE
75,第五,ORDINAL
76,32,CARDINAL
78,台中,GPE
78,華信,ORG
79,月初,DATE
79,台中,GPE
79,7,CARDINAL
80,第二,ORDINAL
80,美東,GPE
81,67月,DATE
81,789,CARDINAL
81,4月,DATE
82,三月,DATE
84,松指,PERSON
84,羽田,GPE
85,日本,GPE
86,堆柵欄仔,FAC
86,整天,DATE
86,松指松,GPE
86,松山機場,FAC
86,軍民共用機場,FAC
87,松指飛羽田包機啦坐,PERSON
91,松指,GPE
92,松山,GPE
94,桃園小港,GPE
95,350,CARDINAL
97,350,CARDINAL
97,高雄,GPE
97,330,CARDINAL
97,松山,GPE
97,00,CARDINAL
97,台灣,GPE
98,第二,ORDINAL
98,四月多,DATE
98,五月早上,TIME
98,兩,CARDINAL
98,東京都,GPE
98,35,CARDINAL
99,第二,ORDINAL
99,三,CARDINAL
99,下禮拜,DATE
99,4月初,DATE
99,3397號,DATE
100,華航,ORG
100,787,PRODUCT
100,三,CARDINAL
100,四,CARDINAL
100,五,CARDINAL
101,17890,CARDINAL
101,兩次,CARDINAL
102,松指部航廈,FAC
102,松指部,GPE
103,松指,PERSON
106,台中,GPE
106,日本,GPE
107,兩,CARDINAL
107,deli,PERSON
107,日本,GPE
107,台20萬台幣,MONEY
107,日本,GPE
107,越洋航空,ORG
107,JAL,ORG
107,日本,GPE
107,越洋航空,ORG
107,B737,PRODUCT
107,A321,PRODUCT
107,勞永逸,PERSON
107,沖繩,GPE
107,今天,DATE
107,a350,PRODUCT
107,a321,PRODUCT
110,台灣人,NORP
111,暑假,DATE
111,沖繩,GPE
111,今天,DATE
111,星宇航空,PERSON
111,a350,PRODUCT
111,a321,PRODUCT
114,華航,ORG
114,長榮,PERSON
114,321,FAC
115,東京,GPE
115,大阪,GPE
117,三,CARDINAL
121,東京,GPE
122,飛羽田,PRODUCT
122,沖繩,GPE
122,兩,CARDINAL
122,日籍,NORP
123,東京大阪,GPE
123,沖繩,GPE
125,長榮,ORG
125,福岡,GPE
125,早上,TIME
125,大阪,GPE
125,東京,GPE
126,星宇,ORG
126,宮古島,LOC
126,函館神戶神戶,GPE
128,沖繩,GPE
131,沖繩,GPE
131,沖繩,GPE
132,沖繩,GPE
132,15小時,TIME
132,歐美,LOC
132,沖繩,GPE
132,1個多小時,TIME
133,2天,DATE
133,石垣,GPE
133,宮古島,LOC
133,沖繩,GPE
134,神戶,GPE
135,神戶,GPE
135,日本,NORP
136,神戶機場,FAC
136,767,CARDINAL
137,神戶,GPE
137,777,CARDINAL
137,787,CARDINAL
137,第台,ORDINAL
137,東京,GPE
137,777,CARDINAL
138,339/359,DATE
139,日航,ORG
139,359,FAC
139,神戶,GPE
141,美國,GPE
142,777,CARDINAL
144,蔡依林,PERSON
144,布拉格廣場,FAC
144,西班牙,GPE
144,布拉格廣場,FAC
144,松菸,FAC
144,馬德里,GPE
144,匈牙利,GPE
144,馬德里,GPE
144,馬德里,GPE
145,匈牙利,GPE
146,星宇,PERSON
147,馬德里,GPE
147,匈牙利,GPE
148,西班牙,GPE
149,西班牙,GPE
149,巴塞隆納,GPE
149,馬德里,GPE
150,星宇,PERSON
151,KR07,PRODUCT
152,星宇,PERSON
157,明年幾個月,DATE
158,jolin,PERSON
159,個月,DATE
159,今天,DATE
159,K董,PERSON
161,馬德里,GPE
161,布拉格,GPE
161,布拉格,GPE
161,馬德里,GPE
161,布拉格廣場,FAC
162,Franceleo,PERSON
163,Jolin,PERSON
163,華語,LANGUAGE
163,新加坡馬來西亞,GPE
163,香港,GPE
163,中國,NORP
163,Jolin,PERSON
163,星宇,PERSON
163,布拉格,GPE
164,星宇,PERSON
164,好星宇,PERSON
165,三,CARDINAL
166,96,PRODUCT
168,Jolin,PERSON
168,QQ,PRODUCT
169,華航,ORG
169,西班牙廣場,FAC
170,廿多年前,DATE
170,台灣,GPE
170,歐洲,LOC
170,布拉格,GPE
171,長榮,ORG
171,金城武,PERSON
173,布拉格廣場,FAC
177,金城,GPE
177,武樹,FAC
180,布拉格,GPE
181,星宇,PERSON
183,長榮航空,ORG
183,2014,DATE
183,金城武,PERSON
183,張國煒,PERSON
186,長榮,ORG
186,星空聯盟,ORG
186,金城武,PERSON
186,YHLUO5jjpeg,ORG
186,張國煒,PERSON
186,聶公,PERSON
188,蔡依林,PERSON
189,伊斯坦堡,GPE
189,周傳雄,PERSON
190,周杰倫,PERSON
190,周傳雄,PERSON
191,伊斯坦堡,GPE
191,周杰倫,PERSON
193,米蘭,GPE
193,周杰倫,PERSON
193,紐約,GPE
193,陶晶瑩,PERSON
194,紐約,GPE
195,紐約,GPE
197,紐約,GPE
197,Jolin,PERSON
197,倫敦,GPE
197,Jolin,PERSON
197,兩三年,DATE
198,赫爾辛基,GPE
198,張韶涵,PERSON
198,歐若拉,PERSON
199,郭泓志,PERSON
199,SFO,ORG
199,史努比若,PERSON
199,JFK,GPE
199,王建民,PERSON
200,Jolin,PERSON
201,史努比,PERSON
201,道奇隊,ORG
201,LAX線,PRODUCT
201,NBA快艇隊,ORG
201,郭泓志,PERSON
201,安大略,GPE
204,蔡依林,PERSON
204,星宇,PERSON
205,蔡依林,PERSON
206,Jolin,PERSON
206,bug,PRODUCT
206,蔡重心,PERSON
207,星宇,PERSON
208,星宇,PERSON
209,K董,PERSON
209,日前,DATE
211,沃草,PERSON
212,星宇,PERSON
212,國泰,ORG
213,中國,GPE
213,二,CARDINAL
213,日本,GPE
213,越南,GPE
213,日本,GPE
214,90,CARDINAL
214,星宇,PERSON
215,600,CARDINAL
215,韓團,NORP
216,台籍,ORG
216,中,GPE
216,港,GPE
216,美,GPE
216,日,GPE
216,香港,GPE
216,國泰,ORG
218,香港,GPE
221,星宇,PERSON
222,星宇,PERSON
222,Jolin,PERSON
222,布拉格定,PERSON
222,星宇,PERSON
224,Dresden,GPE
224,Dresden,GPE
224,Berlin,GPE
226,周董,PERSON
227,星宇,PERSON
227,布拉格,GPE
228,8月,DATE
228,3,CARDINAL
228,10月,DATE
228,4,CARDINAL
228,華航,ORG
229,星宇,PERSON
229,華航,ORG
229,二十年,DATE
232,蔡依林,PERSON
232,2000萬,CARDINAL
232,5000,CARDINAL
232,4000,CARDINAL
232,蔡依林,PERSON
233,布拉格廣場,FAC
236,333,FAC
236,美,GPE
236,紐澳,LOC
236,351/77,WORK_OF_ART
236,未來20年,DATE
236,台灣人,NORP
236,日本,GPE
236,台日線,LOC
236,三,CARDINAL
239,年終個月,DATE
239,星宇,PERSON
239,QQ,PRODUCT
240,幾年,DATE
243,星宇,PERSON
244,米蘭,GPE
244,周董,PERSON
245,雅典,GPE
245,蔡依林,PERSON
245,希臘,NORP
245,倫敦,GPE
245,周杰倫,PERSON
246,蔡依林,PERSON
248,Jolin,PERSON
250,華航,ORG
250,F16,PRODUCT
250,華航,ORG
251,歐洲,LOC
251,Jolin,PERSON
254,蔡依林,PERSON
254,10歲以下,DATE
255,18歲以下,DATE
255,歐洲,LOC
256,星宇,PERSON
256,Jolin,PERSON
256,星宇,PERSON
256,華航,ORG
256,布拉格,GPE
258,n\n,PERSON
258,Sabre,ORG
258,星宇,PERSON
258,台中,GPE
258,成田,GPE
258,4/15起日日,DATE
258,314/315,CARDINAL
258,台中,GPE
258,熊本,GPE
258,4/15,DATE
258,星宇,PERSON
258,台中,GPE
258,八,CARDINAL
258,九,CARDINAL
258,星宇,PERSON
258,台中,GPE
258,今年暑假,DATE
258,n澳門MFM,GPE
258,n熊本,GPE
258,n釜山,GPE
259,台中,GPE
261,星宇,PERSON
261,台中,GPE
261,清邁曼谷,PERSON
262,台中,GPE
263,台中,GPE
264,OKA/NRT,ORG
265,中彰投,GPE
265,南苗栗,GPE
265,北雲林,GPE
266,台中機場,FAC
267,台中,GPE
267,飛耶,PERSON
270,三,CARDINAL
270,半,CARDINAL
272,開曼谷,PERSON
273,五,ORDINAL
273,OKA,ORG
273,兩,CARDINAL
273,339,FAC
273,台中,GPE
274,台中,GPE
274,14,CARDINAL
274,去年,DATE
274,三,CARDINAL
274,OKA,ORG
275,去年七月,DATE
275,神戶,GPE
275,1萬四千多,CARDINAL
275,過幾天,DATE
275,1萬三千多,CARDINAL
276,桃園,GPE
276,高雄,GPE
276,新年,DATE
277,沖繩,GPE
277,東京,GPE
278,星宇,PERSON
278,台中,GPE
278,七月,DATE
278,暑假,DATE
279,桃園,GPE
280,星宇,PERSON
280,台中,GPE
280,星宇,PERSON
281,桃園,GPE
281,台中,GPE
282,5年,DATE
283,Willie,PERSON
283,星宇,PERSON
283,6/30,DATE
283,台中成田,GPE
284,台中,GPE
285,16000,CARDINAL
286,台中,GPE
286,台中成田,GPE
286,台中,GPE
286,台中,GPE
286,二月初,DATE
286,月底,DATE
286,星宇,PERSON
286,台中,GPE
286,星宇,PERSON
287,14k,QUANTITY
287,開春,DATE
287,中部人,NORP
287,台中,GPE
287,暑假,DATE
287,16,CARDINAL
287,春季,DATE
288,星宇,PERSON
288,台中,GPE
288,14,CARDINAL
288,整個月,DATE
288,359,CARDINAL
288,351,CARDINAL
289,14,CARDINAL
289,高雄,GPE
289,10k,CARDINAL
289,台灣,GPE
290,台中,GPE
291,星宇,PERSON
291,星宇,PERSON
291,台中,GPE
291,兩,CARDINAL
292,星宇,PERSON
292,台中,GPE
293,半個月,DATE
293,星宇,PERSON
295,台中人,NORP
295,星宇,PERSON
295,台中,GPE
297,台中,GPE
297,八成,CARDINAL
299,星宇,PERSON
299,台中,GPE
299,3/30,PERCENT
299,34月,DATE
299,6月,DATE
300,台中,GPE
300,8成,PERCENT
300,6成,PERCENT
300,日本,GPE
301,台中,GPE
301,南部人,NORP
302,3/30,DATE
302,台中,GPE
302,成田,GPE
302,星宇,PERSON
303,兩,CARDINAL
303,第年,DATE
303,台北,GPE
304,5月,DATE
304,四月份,DATE
304,1萬6,CARDINAL
304,桃園,GPE
304,高雄,GPE
304,1萬6,CARDINAL
305,華航,ORG
306,高雄仔,GPE
307,16,CARDINAL
307,松山,GPE
308,高雄人,NORP
308,333,CARDINAL
308,787,CARDINAL
309,台中東京,GPE
309,澳門,GPE
309,中國,GPE
309,日本,GPE
309,神戶,GPE
310,台中,GPE
312,台中,GPE
312,星宇,PERSON
314,羽田,GPE
315,沖繩,GPE
315,兩,CARDINAL
316,Arthur,GPE
316,52,CARDINAL
316,沖繩,GPE
316,兩,CARDINAL
316,成田,GPE
316,兩,CARDINAL
317,半小時,TIME
317,半小時,TIME
318,年底,DATE
318,台中,GPE
319,5分鐘,TIME
321,四五月,DATE
321,華航,ORG
321,14K15,CARDINAL
321,13,CARDINAL
321,華航,ORG
321,兩,CARDINAL
321,五月,DATE
322,台中,GPE
323,春節,DATE
323,星宇,PERSON
325,台中,GPE
325,台中,GPE
325,長榮華航,ORG
325,台中,GPE
326,中部人,NORP
327,桃園成田,LOC
327,去年,DATE
327,國泰,ORG
327,11k,QUANTITY
327,1415k,QUANTITY
328,華航,ORG
328,星宇,PERSON
328,14,CARDINAL
328,13,CARDINAL
328,成田,GPE
328,8成,PERCENT
330,今天,DATE
330,長榮,PERSON
330,6月底前,DATE
330,桃園,GPE
330,14,CARDINAL
331,UA,ORG
331,87,CARDINAL
331,UA,ORG
332,去年1011月,DATE
332,今年6月,DATE
332,去年,DATE
333,14,CARDINAL
333,華航,ORG
333,6成,PERCENT
334,台中成田,GPE
336,4/154/16,CARDINAL
336,星宇,PERSON
336,台中,GPE
336,華航,ORG
336,華航,ORG
336,華航,ORG
336,華航,ORG
339,台中,GPE
339,東京,GPE
339,台中,GPE
339,台中,GPE
339,台北,GPE
339,台中,GPE
339,台北,GPE
339,台中,GPE
340,星宇,PERSON
340,16,CARDINAL
340,14,CARDINAL
340,桃園,GPE
340,下午,TIME
341,星宇,PERSON
341,長榮桃園,GPE
341,成田,LOC
341,桃園,GPE
341,3000,CARDINAL
341,321neo,QUANTITY
341,737800,DATE
342,32,CARDINAL
342,Arthur,PERSON
342,台中,GPE
343,台北,GPE
343,B773,PRODUCT
343,438,CARDINAL
344,上禮拜,DATE
346,星宇,PERSON
346,華航長榮,ORG
346,星宇,PERSON
347,華航,ORG
347,兩,CARDINAL
348,華航長榮,ORG
349,台中,GPE
349,星宇,PERSON
351,台中,GPE
351,星宇,PERSON
352,米國,GPE
352,台,GPE
352,台中人,NORP
352,仁川,GPE
352,台中機場,FAC
352,台中,GPE
352,桃機,GPE
352,台中,GPE
353,星宇,PERSON
353,台中,GPE
353,桃園,GPE
354,臺中,GPE
356,台日線,LOC
358,曼谷plz,GPE
359,台中,GPE
360,台中機場,FAC
360,桃園,GPE
361,高雄,GPE
361,桃園,GPE
362,航空公司,ORG
362,台中,GPE
363,星宇,PERSON
364,彰化,GPE
364,台中,GPE
365,台中,GPE
366,台中,GPE
366,兩,CARDINAL
366,早上,TIME
367,高雄,GPE
368,潭子,GPE
368,台中,GPE
369,潭子,GPE
370,台中,GPE
370,韓國航空公司,ORG
371,高雄,GPE
373,台中,GPE
373,高雄,GPE
373,高雄機場,FAC
373,高雄,GPE
375,北屯,GPE
375,潭子,GPE
375,桃園,GPE
376,航空公司,ORG
377,中國,GPE
377,星宇,PERSON
377,兩,CARDINAL
378,台中貴賓室,FAC
378,24,CARDINAL
379,A339貴賓室,FAC
380,今年,DATE
380,高雄,GPE
380,高雄,GPE
381,台中,GPE
381,3,CARDINAL
381,星宇,PERSON
381,24,CARDINAL
381,2年前,DATE
381,3,CARDINAL
381,4月,DATE
381,第五,ORDINAL
383,台中,GPE
383,缺札幌,GPE
383,仙台台中,GPE
383,泰國,GPE
385,333,CARDINAL
385,787,CARDINAL
385,343,CARDINAL
385,777,CARDINAL
386,台中,GPE
386,星宇,PERSON
386,東京,GPE
387,台中,GPE
387,4000以上,CARDINAL
387,台中,GPE
389,n民視,ORG
389,星宇,PERSON
389,1,CARDINAL
389,桃園,GPE
389,下午,TIME
389,n內文,GPE
389,桃機,FAC
389,日,GPE
389,星宇航空,ORG
389,上午8點30分,TIME
389,桃園機場,FAC
389,東京,GPE
389,成田機\n場,FAC
389,1小時,TIME
389,桃園機場,FAC
389,下午,TIME
389,成田\n空港,FAC
389,A350900,PRODUCT
389,東北,LOC
389,10點27分,TIME
389,星宇航空,PERSON
389,JX800,PRODUCT
389,1小時,TIME
389,桃園機場,FAC
389,1330,CARDINAL
389,東京,GPE
389,台北,GPE
389,3小時,TIME
389,300元,MONEY
389,星宇航空,PERSON
390,三小時300,TIME
391,300,CARDINAL
392,300元,MONEY
393,星宇,PERSON
394,801,CARDINAL
394,台北人,NORP
395,300,CARDINAL
396,35,CARDINAL
396,白天,TIME
396,359,FAC
396,505,CARDINAL
396,508,CARDINAL
396,第二,ORDINAL
396,35K,QUANTITY
397,300元,MONEY
398,成田,GPE
398,300,PRODUCT
400,桃機管制區,FAC
401,1小時100,TIME
403,桃機管制區,FAC
404,桃機管制區,FAC
405,2/20,CARDINAL
406,維也納,GPE
406,63,CARDINAL
406,布拉格,GPE
407,CIBR,ORG
408,063,CARDINAL
408,VIE,ORG
409,長榮,ORG
409,61,CARDINAL
409,慕尼黑,GPE
410,成田候機室,FAC
411,801,CARDINAL
412,星宇,PERSON
413,美國,NORP
414,早上,TIME
414,1027,TIME
415,前幾天,DATE
415,神戶台中,GPE
415,2萬英呎,QUANTITY
416,今日,DATE
416,紐約,GPE
416,CI12/BR32,FAC
417,EU261,FAC
417,400歐元,MONEY
417,300新台幣,MONEY
418,TPE,ORG
418,晚上,TIME
419,3小時,TIME
420,K董,PERSON
420,年底,DATE
420,5小時,TIME
420,日本,GPE
421,台灣,GPE
421,5小時,TIME
421,0元,MONEY
421,星宇,PERSON
423,台灣,GPE
423,星宇,PERSON
425,三百,CARDINAL
429,紐約,GPE
429,今天晚上,TIME
431,300,CARDINAL
432,前幾天,DATE
432,兩小時,TIME
433,日本,GPE
433,桃園機場,FAC
438,2個小時,TIME
440,星宇,PERSON
440,長榮,ORG
440,華航,ORG
446,非星宇,PERSON
446,今天,DATE
446,高雄,GPE
446,EtihadTPE,ORG
447,阿提哈德,ORG
447,78710,CARDINAL
447,台,GPE
447,阿布達比,GPE
448,1個月,DATE
449,nA321neo,PRODUCT
449,澳門,GPE
449,三萬英尺,QUANTITY
449,n星宇,PERSON
449,桃園,GPE
449,澳門塔,FAC
449,前兩天,DATE
449,三天,DATE
449,兩夜,TIME
449,澳門,GPE
449,Excel,PRODUCT
449,張國煒,PERSON
449,美國,GPE
449,第二,ORDINAL
449,澳門,GPE
449,亞洲,LOC
449,第航廈,FAC
449,星宇,PERSON
449,JX205,PRODUCT
449,prepareforlanding,PERSON
449,澳門國際機場,FAC
449,JX205,PERSON
449,星宇航空,PERSON
449,桃園,GPE
449,澳門,GPE
451,長榮,ORG
452,2024年,DATE
452,Crewforlanding,ORG
457,聯合報,WORK_OF_ART
457,甘芝萁,PERSON
457,台北,GPE
457,n星宇,PERSON
457,澳門,GPE
457,澳門,GPE
457,聯合報,WORK_OF_ART
457,甘芝萁,PERSON
457,台北,GPE
457,n\n,GPE
457,宇航空,ORG
457,台北,GPE
457,澳門,GPE
457,X331,FAC
457,昨晚,TIME
457,澳門,GPE
457,星宇,PERSON
457,民航局,ORG
457,民\n航局,ORG
457,18日凌晨,TIME
457,桃園,GPE
457,n\n民航局,ORG
457,n星宇,PERSON
457,澳門,GPE
457,民航局,ORG
457,台中,GPE
457,澳門,GPE
457,台北,GPE
457,澳門,GPE
457,幾個小時,TIME
461,35,CARDINAL
463,華航,ORG
463,星宇,PERSON
465,星宇,PERSON
466,幾天,DATE
466,星宇,PERSON
467,廖建宗,PERSON
467,台灣,NORP
468,LCC,ORG
468,321,FAC
468,星宇,PERSON
470,星宇,PERSON
471,星宇,PERSON
473,星宇,PERSON
473,張國瑋,PERSON
473,張國瑋,PERSON
473,18,CARDINAL
473,星宇,PERSON
474,KW96,PERSON
474,王浩宇,PERSON
474,星宇,PERSON
474,民航局,ORG
474,王浩宇,PERSON
477,王浩宇,PERSON
479,KW96,PERSON
484,法國,GPE
487,737,CARDINAL
487,321,CARDINAL
487,空巴,ORG
487,航空公司,ORG
487,星宇,PERSON
488,長榮華航,ORG
488,華航,ORG
490,伏地魔,PERSON
490,華航,ORG
490,華航,ORG
491,FDIMU,PRODUCT
492,星宇,PERSON
492,空巴,ORG
494,空巴,ORG
495,民航局,ORG
496,K董,PERSON
496,年底,DATE
497,32,CARDINAL
498,仙台,GPE
498,SDJ,GPE
498,TPE\n\n,GPE
498,2035,CARDINAL
498,東北地區,LOC
498,JRPASS,GPE
498,東京,GPE
498,仙台機場,FAC
498,東北,LOC
498,國際線櫃檯,FAC
498,仙台,GPE
498,JCB,ORG
498,2300日幣,MONEY
498,10分鐘,TIME
498,星宇,PERSON
498,長榮,ORG
498,廣體,ORG
498,兩,CARDINAL
498,星宇,PERSON
498,兩,CARDINAL
498,虎航,ORG
498,n\n,PERSON
498,華航集團,ORG
498,東北,LOC
498,n\n\n\n,GPE
498,冬季,DATE
498,仙台,GPE
498,2~3,CARDINAL
498,8,CARDINAL
498,150美金,MONEY
498,仙台,GPE
498,AEON,FAC
498,冬天,DATE
498,仙台市區,GPE
498,n仙台機場,FAC
498,米澤,GPE
498,星宇,PERSON
498,日式,NORP
498,三,CARDINAL
498,日式,NORP
498,日式,NORP
498,日式,NORP
498,日本海,LOC
498,朝鮮半島,LOC
498,釜山,GPE
498,濟州島,LOC
498,20分鐘,TIME
498,桃園機場,FAC
498,大韓,GPE
498,7478,CARDINAL
498,第次,ORDINAL
498,大韓,GPE
498,韓亞,GPE
498,n\n,PERSON
498,A3807478,PRODUCT
498,首爾,GPE
498,二航廈,FAC
502,SDJ,PRODUCT
504,150,CARDINAL
505,星期二10日,DATE
505,釜山,GPE
505,26年6月1日,DATE
505,台北,GPE
505,2月4日,DATE
506,兩,CARDINAL
506,釜山,GPE
507,釜山,GPE
507,臺灣,GPE
508,339,CARDINAL
510,釜山,GPE
510,40,CARDINAL
510,台灣人,NORP
510,多哈,GPE
511,釜山,GPE
511,首爾,GPE
512,韓國,GPE
513,韓籍,NORP
515,三日,DATE
516,台中釜山,GPE
517,ICN,ORG
518,大韓,GPE
518,台中首爾,GPE
519,兩,CARDINAL
519,三,CARDINAL
520,南韓,GPE
520,中國,GPE
520,台灣,GPE
521,歐洲,LOC
521,第二,ORDINAL
522,東南亞,LOC
522,台韓線,FAC
523,韓國,GPE
524,酷航,ORG
524,東南亞,LOC
525,台籍,NORP
525,仁川,GPE
527,清州,GPE
527,襄陽,GPE
527,麗水,GPE
528,韓國,GPE
528,台灣,GPE
528,日本,GPE
529,芹苴,GPE
529,高雄,GPE
530,韓航,ORG
530,1990年代,DATE
530,台北,GPE
530,大阪,GPE
530,台,GPE
530,韓,GPE
530,日,GPE
532,清州,GPE
532,襄陽,GPE
533,濟州島,GPE
534,濟州島,LOC
534,中秋節,DATE
534,金浦濟州島,LOC
534,韓國人,NORP
534,中秋節,DATE
535,台,GPE
535,韓,GPE
535,韓台日,PERSON
535,韓籍,NORP
535,台灣,GPE
535,日本,GPE
536,台,GPE
536,韓,GPE
537,韓日台,PERSON
537,韓台日,PERSON
537,三角,CARDINAL
537,韓,GPE
537,台,GPE
537,日,GPE
537,韓,GPE
537,韓,GPE
537,日,GPE
537,韓順,GPE
538,韓國,GPE
538,韓國,GPE
538,韓籍,GPE
539,幾年,DATE
539,韓國,GPE
539,香港,GPE
539,泰國,GPE
540,韓國,GPE
540,首爾釜山,GPE
540,日本二三線城市高航空公司,ORG
540,日本,GPE
541,越籍,NORP
541,台,GPE
541,韓,GPE
542,越籍,NORP
542,日本,GPE
542,XDD,GPE
543,泰越捷,PERSON
544,泰越捷,PRODUCT
544,泰籍,NORP
544,越籍,NORP
545,韓國,GPE
545,首爾,GPE
546,釜山,GPE
547,首爾,GPE
548,釜山,GPE
549,韓國,GPE
550,星宇,PERSON
550,桃園,GPE
550,仁川桃園釜山,GPE
550,釜山,GPE
550,台北,GPE
550,仁川,GPE
550,台中,GPE
550,大韓,GPE
550,星宇,PERSON
551,台中仁川,GPE
551,日本,GPE
552,大韓,GPE
552,星宇台中,GPE
553,台中,GPE
554,澳門神戶,GPE
554,沖繩,GPE
555,台中首爾,GPE
555,台北,GPE
555,日本,GPE
555,韓國,NORP
555,台北,GPE
555,台北,GPE
555,韓國,GPE
555,首爾,GPE
555,幾年前,DATE
555,仁川機場,FAC
556,韓國,GPE
556,日本,GPE
556,二三,CARDINAL
557,釜山,GPE
557,兩,CARDINAL
558,菲籍,NORP
558,大阪,GPE
558,菲亞航宿霧菲航天,ORG
559,韓國,GPE
559,福岡,GPE
560,韓國,GPE
560,首爾釜山,GPE
560,日本,GPE
561,高雄釜山,GPE
561,台南釜山,GPE
561,釜山,GPE
562,台中,GPE
563,四,CARDINAL
563,桃園,GPE
563,韓籍,NORP
563,傍晚,TIME
564,台中,GPE
564,日本,GPE
564,日本,GPE
564,首爾,GPE
564,大韓,GPE
564,日本,GPE
565,RMQICN,ORG
565,台中,GPE
565,東南亞,LOC
565,韓國,GPE
565,台北,GPE
566,釜山,GPE
567,釜山,GPE
567,韓國,GPE
568,韓國,GPE
569,民航局,ORG
569,60萬元,MONEY
569,n\n,PERSON
569,去年3月3日,DATE
569,JX789,ORG
569,台北,GPE
569,菲律賓,GPE
569,克拉克,PERSON
569,民航局,ORG
569,60萬元,MONEY
569,12萬元,MONEY
569,6萬元,MONEY
569,星宇航空,PERSON
569,去年3月3日,DATE
569,JX789,TIME
569,菲律賓,GPE
569,克拉克機場,FAC
569,20,CARDINAL
569,02,CARDINAL
569,民航局,ORG
569,星宇航空,ORG
569,去年3月3日,DATE
569,星宇航,PERSON
569,第1,ORDINAL
569,60萬元,MONEY
569,第41條,LAW
569,第20,ORDINAL
569,第154,ORDINAL
569,第3,ORDINAL
569,12萬元,MONEY
569,第41,ORDINAL
569,1第2,ORDINAL
